"","focal","cub.mins","mom.mins","c","n","ba","bl","g","ca","cl","ma","ml","ua","ul","overlap","fas.date","location","fas.mom","hy.id","stop.fas","fas.format","dob","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","sex","status","mom","dad","number.littermates","litrank","fas.age.mon","fas.mon","migratn.seas.fas","fas.am.pm","dob.yr","mom.state","mom.cycle.start","mom.cycle.stop","mom.trimester","mom.parity","mom.cub1","mom.cub2","mom.parity.binary","fas.yr"
"19","j118",31,31,31,31,0,0,0,0,0,0,0,0,0,31,2012-11-17,"ema nd2 12","sau","spcd",2012-11-17 18:41:00,"new","2012-06-04","","serena.n",NA,"","2012-07-07","","",NA,"",NA,"","",NA,"","2013-08-04","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-08-21","dls","",NA,"","m","r","sau",NA,"twin",NA,5.5,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"20","j119",26,28,26,24,0,0,4,1,2,0,0,0,0,26,2012-11-17,"ema nd2 12","sau","koal",2012-11-17 19:09:00,"new","2012-06-04","","serena.n",NA,"","2014-07-02","","",NA,"","2013-04-22","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-04","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-01-14","dls","",NA,"","m","r","sau",NA,"twin","1",5.5,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"21","j12",53,53,18,0,0,0,1,6,9,2,1,1,0,53,2012-07-20,"windsor d","saw","malo",2012-07-20 19:08:00,"new","2011-12-27","","happy.zebra",NA,"","2012-01-24","","",NA,"","2012-10-24","","",NA,"dengrad info not in table, instead taken from tblhyenas","2012-09-17","","",22.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-10-07","dead","humans(car)",NA,"","m","r","saw",NA,NA,NA,6.8,7,"migration","pm",2011,NA,NA,NA,NA,NA,NA,NA,NA,2012
"22","j120",13,17,5,0,0,0,0,1,3,2,1,0,0,13,2012-11-19,"flashforward d","taj","star",2012-11-19 06:07:00,"new","2012-07-22","","serena.s",NA,"","2012-09-09","","",NA,"","2013-02-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-15","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","m","r","taj",NA,"twin","1",3.9,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"23","j121",31,31,15,0,0,0,0,12,12,0,0,0,0,31,2012-11-19,"flashforward d","java","sula",2012-11-19 06:37:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,3.7,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"24","j122",33,33,13,0,0,0,0,9,10,0,0,0,0,33,2012-11-19,"ema nd2 12","wafl","trni",2012-11-19 18:28:00,"new","2012-07-04","","serena.n",NA,"","2012-07-12","","",NA,"","2013-02-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","",NA,"","m","r","wafl",NA,"single",NA,4.5,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"25","j123",33,33,8,0,0,0,0,3,6,2,0,1,0,33,2012-11-19,"ema nd2 12","sau","koal",2012-11-19 19:01:00,"new","2012-06-04","","serena.n",NA,"","2014-07-02","","",NA,"","2013-04-22","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-04","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-01-14","dls","",NA,"","m","r","sau",NA,"twin","1",5.5,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"26","j124",29,33,13,0,0,0,0,6,6,0,0,0,0,29,2012-11-21,"flashforward d","java","sula",2012-11-21 06:29:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,3.8,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"27","j125",30,30,30,26,0,0,8,7,8,0,0,0,0,30,2012-11-21,"ema nd2 12","ema","drp",2012-11-21 18:43:00,"new","2012-11-05","","serena.n",NA,"","2012-11-07","","",NA,"",NA,"","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-06-03","dls","double check: alive but with disappeared date",NA,"","m","r","ema",NA,"single",NA,0.5,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"28","j126",33,34,21,1,0,0,0,11,10,0,0,0,0,33,2012-11-22,"ema nd2 12","wafl","trni",2012-11-22 06:47:00,"new","2012-07-04","","serena.n",NA,"","2012-07-12","","",NA,"","2013-02-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","",NA,"","m","r","wafl",NA,"single",NA,4.6,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"29","j127",26,26,26,10,0,0,9,9,9,0,1,0,0,26,2012-11-22,"ema nd2 12","angi","uzi",2012-11-22 07:14:00,"new","2012-08-21","","serena.n",NA,"","2012-11-06","","",NA,"","2013-07-01","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-06-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-03-11","dls","double check: alive but with disappeared date",NA,"","m","r","angi",NA,"single",NA,3.1,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"30","j128",9,8,8,7,0,0,1,0,0,0,0,0,1,8,2012-11-24,"hatch d","taj","star",2012-11-24 06:15:00,"new","2012-07-22","","serena.s",NA,"","2012-09-09","","",NA,"","2013-02-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-15","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","m","r","taj",NA,"twin","1",4.1,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"31","j129",10,10,0,0,0,0,0,0,0,0,0,0,0,10,2012-11-24,"@351m ne _ hatch d (gps: 0727498e, 9841004n)","mtn","korb",2012-11-24 08:06:00,"new","2012-05-27","","serena.s",NA,"","2012-07-08","","",NA,"","2013-05-19","","",NA,"dengrad info not in table, instead taken from tblhyenas",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","m","r","mtn",NA,"twin",NA,5.9,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"32","j130",34,34,34,33,0,0,0,1,0,0,1,0,0,34,2012-11-24,"ema nd2 12 south","lcs","gobe",2012-11-24 19:10:00,"new","2012-08-10","","serena.n",NA,"","2012-09-16","","",NA,"","2013-02-12","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-05-29","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-04-02","dls","double check: alive but with disappeared date",NA,"","m","r","lcs",NA,"single",NA,3.5,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"33","j131",30,32,29,25,0,0,1,2,3,0,1,2,0,30,2012-11-24,"ema nd2 12 south","wafl","trni",2012-11-24 20:02:00,"new","2012-07-04","","serena.n",NA,"","2012-07-12","","",NA,"","2013-02-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","",NA,"","m","r","wafl",NA,"single",NA,4.7,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"34","j132",16,22,3,2,0,0,0,1,2,0,0,0,0,16,2012-11-25,"hatch d","taj","star",2012-11-25 17:58:00,"new","2012-07-22","","serena.s",NA,"","2012-09-09","","",NA,"","2013-02-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-15","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","m","r","taj",NA,"twin","1",4.1,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"35","j133",24,24,1,0,0,0,0,2,1,0,0,0,0,24,2012-11-25,"hatch d","java","sula",2012-11-25 18:22:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,3.9,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"36","j134",29,32,9,0,0,0,0,6,6,0,0,0,0,29,2012-11-26,"hatch d","java","sula",2012-11-26 06:56:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,4,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"37","j135",30,33,29,27,0,0,2,2,1,0,0,0,0,30,2012-11-26,"ema nd2 12","angi","uzi",2012-11-26 19:09:00,"new","2012-08-21","","serena.n",NA,"","2012-11-06","","",NA,"","2013-07-01","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-06-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-03-11","dls","double check: alive but with disappeared date",NA,"","m","r","angi",NA,"single",NA,3.2,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"38","j136",34,34,34,34,0,0,0,0,0,0,0,0,0,34,2012-11-27,"ema nd2 12 south hole","sau","spcd",2012-11-27 06:36:00,"new","2012-06-04","","serena.n",NA,"","2012-07-07","","",NA,"",NA,"","",NA,"","2013-08-04","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-08-21","dls","",NA,"","m","r","sau",NA,"twin",NA,5.8,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"39","j137",33,33,31,22,0,0,2,2,2,1,0,0,0,33,2012-11-27,"ema nd2 12 south hole","sau","koal",2012-11-27 07:08:00,"new","2012-06-04","","serena.n",NA,"","2014-07-02","","",NA,"","2013-04-22","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-04","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-01-14","dls","",NA,"","m","r","sau",NA,"twin","1",5.8,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"40","j138",29,34,26,5,0,0,9,5,6,0,0,0,0,29,2012-11-27,"ema nd2 12","ema","drp",2012-11-27 09:02:00,"new","2012-11-05","","serena.n",NA,"","2012-11-07","","",NA,"",NA,"","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-06-03","dls","double check: alive but with disappeared date",NA,"","m","r","ema",NA,"single",NA,0.7,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"41","j139",15,7,2,0,0,0,0,1,1,0,0,0,0,7,2012-11-28,"hatch d","taj","star",2012-11-28 06:35:00,"new","2012-07-22","","serena.s",NA,"","2012-09-09","","",NA,"","2013-02-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-15","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","m","r","taj",NA,"twin","1",4.2,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"42","j14",19,19,11,7,0,0,0,1,0,0,1,0,1,19,2012-07-24,"krakow d","rbc","hucn",2012-07-24 08:48:00,"new","2011-09-12","","serena.n",NA,"","2012-01-27","","",NA,"","2012-07-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2012-08-24","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2012-11-06","dls","double check: alive but with disappeared date",NA,"","m","r","rbc",NA,"twin","1",10.4,7,"migration","am",2011,NA,NA,NA,NA,NA,NA,NA,NA,2012
"43","j140",34,41,34,32,0,0,7,2,0,1,2,0,0,34,2012-11-28,"hatch d","java","sula",2012-11-28 07:15:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,4,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"44","j144",31,31,31,31,0,0,0,0,0,0,0,0,0,31,2012-12-04,"crtn edge cd","yog","helm",2012-12-04 18:21:00,"new","2012-04-03","","talek",NA,"","2012-05-24","","",NA,"","2012-12-28","","",3.5,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-03-06","dls","inferred dead",NA,"","m","r","yog",NA,"twin",NA,8,12,"none","pm",2012,"l",2012-04-04,2013-06-06,4,"e","helm","hydg","mult",2012
"45","j152",11,11,11,11,0,0,0,0,0,0,0,0,0,11,2012-12-13,"central park d","cart","kopa",2012-12-13 19:36:00,"new","2012-08-08","","talek",NA,"","2012-09-18","","",NA,"",NA,"dbg","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-03-30","dls","inferred dead",NA,"","m","r","cart",NA,NA,NA,4.2,12,"none","pm",2012,"l",2012-08-09,2013-04-29,4,"c","kopa","ppch","mult",2012
"46","j155",25,29,3,0,0,0,0,1,0,0,0,0,0,25,2012-12-16,"bad bushes","hel","gala",2012-12-16 07:43:00,"new","2012-01-06","","talek",NA,"","2012-01-08","","",NA,"","2012-09-15","","",1,"","2012-07-17","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-04-12","dead","humans (poison - april 2014)",NA,"","f","r","hel",NA,"single",NA,11.3,12,"none","am",2012,"l",2012-10-05,2013-06-07,4,"f","chle","tica","mult",2012
"47","j156",23,24,22,12,0,0,0,2,2,0,0,0,0,22,2012-12-16,"central park d","cart","kopa",2012-12-16 20:29:00,"new","2012-08-08","","talek",NA,"","2012-09-18","","",NA,"",NA,"dbg","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-03-30","dls","inferred dead",NA,"","m","r","cart",NA,NA,NA,4.3,12,"none","pm",2012,"l",2012-08-09,2013-04-29,4,"c","kopa","ppch","mult",2012
"48","j159",33,32,29,29,0,0,0,1,0,0,1,0,0,32,2012-12-20,"crtn edge cd","yog","hydg",2012-12-20 19:26:00,"new","2012-04-03","","talek",NA,"","2012-05-24","","",NA,"","2012-12-28","","",3.5,"","2013-06-06","","",11,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-03-10","dls","dispersed",NA,"","m","r","yog",NA,"twin",NA,8.6,12,"none","pm",2012,"l",2012-04-04,2013-06-06,4,"e","helm","hydg","mult",2012
"49","j16",30,30,2,0,0,0,0,0,0,2,2,0,0,30,2012-07-25,"krakow d","peep","drpy",2012-07-25 19:15:00,"new","2011-09-12","","serena.n",NA,"","2012-01-27","","",NA,"","2012-07-14","","",NA,"dengrad info not in table, instead taken from tblhyenas","2012-09-22","","",3,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-11-14","dls","double check: alive but with disappeared date",NA,"","m","r","peep",NA,"twin","2",10.4,7,"migration","pm",2011,NA,NA,NA,NA,NA,NA,NA,NA,2012
"50","j160",23,21,9,18,0,0,0,0,1,0,1,0,0,21,2012-12-20,"central park cd2","hel","tica",2012-12-20 20:18:00,"new","2012-10-04","","talek",NA,"","2012-11-04","","",NA,"","2013-07-29","","",1,"","2013-08-28","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-01-25","dls","dispersed",NA,"","m","r","hel",NA,"twin","2",2.5,12,"none","pm",2012,"l",2012-10-05,2013-06-07,4,"f","chle","tica","mult",2012
"51","j161",31,33,6,0,0,0,0,5,5,0,0,0,0,31,2012-12-27,"crtn edge cd","cart","kopa",2012-12-27 18:29:00,"new","2012-08-08","","talek",NA,"","2012-09-18","","",NA,"",NA,"dbg","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-03-30","dls","inferred dead",NA,"","m","r","cart",NA,NA,NA,4.6,12,"none","pm",2012,"l",2012-08-09,2013-04-29,4,"c","kopa","ppch","mult",2012
