"","hy.id","c.ranef","c.ranef.sd","c.blups","c.expontd.blups","n.ranef","n.ranef.sd","n.blups","n.expontd.blups","g.ranef","g.ranef.sd","g.blups","g.expontd.blups","n.fas","sex","avg.cub.mins","sd.cub.mins","avg.mom.mins","sd.mom.mins","avg.overlap","sd.overlap","avg.c.mins","sd.c","prop.c","avg.n.mins","sd.n","prop.n","avg.g.mins","sd.g","prop.g","first.fas.date","last.fas.date","fas.format","first.fas.age.mon","last.fas.age.mon","first.fas.yr","dob","dob.yr","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","mom","dad","number.littermates","litrank","mom.parity","mom.parity.binary","mom.cub1","mom.cub2","fas.durtn.mon"
"11","bron",0.0738883328437295,0.140006956321577,-0.0817398578650548,0.9215116515263,-0.0436056123214733,0.128050158146819,-0.657668604059347,0.518057725335777,1.29448847939505,0.590261929140435,-0.844166466246509,0.42991555803295,4,"m",29,7.35,28,10.03,27.75,9.84,24,16.02,0.86,17.5,13.08,0.63,4.75,5.62,0.17,2013-01-12,2013-08-01,"new",3.4,10,2013,"2012-10-01",2012,"","serena.s",NA,"","2012-11-16","","",NA,"","2013-06-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-10-30","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-11-19","dls","double check: alive but with disappeared date",NA,"","bart",NA,NA,NA,NA,NA,NA,NA,6.6
"12","byte",0.0888901053865219,0.129653550572676,-0.0667380853222625,0.935440174766224,0.151001456601911,0.13365882578806,-0.463061535135962,0.629353903938544,-0.346010269132558,0.565799187915405,-2.48466521477412,0.0833534553468053,5,"f",24,7.31,24,6.52,23,7.55,21.2,10.08,0.92,16.4,13.07,0.71,0.2,0.45,0.01,2013-02-26,2013-06-20,"new",1.5,5.2,2013,"2013-01-12",2013,"","talek",NA,"","2013-02-07","","",NA,"","2013-08-08","","",1,"","2013-10-31","","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2018-06-13","dls","",NA,"","buar",NA,"twin",NA,"a","prim","byte","decm",3.75
"13","catn",0.0388889714167941,0.116352547853675,-0.11673921929199,0.889817210071371,0.0116236245670903,0.118573089414962,-0.602439367170783,0.54747451453426,1.00653731514362,0.433577846514079,-1.13211763049794,0.322349915134143,7,"m",24.43,9.96,26.14,8.55,24.43,9.96,20.71,8.4,0.85,15,9.07,0.61,4.29,3.95,0.18,2013-04-04,2013-08-08,"new",1.3,5.4,2013,"2013-02-24",2013,"","talek",NA,"","2013-03-17","","",NA,"","2013-09-15","","",22,"","2013-08-12","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-12-24","dls","inferred dead",NA,"","adon",NA,NA,NA,"h","mult","catn",NA,4.14
"14","chco",0.0969174912665429,0.107235484481213,-0.0587106994422415,0.942979534204857,0.0920838316334752,0.103196686758745,-0.521979160104398,0.593345060243319,0.625122515776156,0.393272278544815,-1.5135324298654,0.220131005598291,10,"f",22.2,10.9,23.9,9.15,22,11.19,20.1,10.47,0.91,16.4,10.55,0.75,2.2,2.3,0.1,2013-03-04,2013-08-06,"new",1.3,6.4,2013,"2013-01-22",2013,"","talek",NA,"","2013-02-12","","",NA,"","2013-12-26","","",17,"","2013-11-17","","",17,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","ffl",NA,NA,NA,"e","mult","chco",NA,5.09
"15","chle",0.0132834625841863,0.107759286567201,-0.142344728124598,0.867322214584343,0.0537949428596558,0.100365782671253,-0.560268048878218,0.571055972418932,-0.777629055984908,0.610745409167623,-2.91628400162647,0.054134477631862,9,"m",25.89,4.57,25.78,4.76,25.56,4.72,20.56,9.29,0.8,19.22,10.18,0.75,0,0,0,2013-03-02,2013-06-23,"new",4.9,8.6,2013,"2012-10-04",2012,"","talek",NA,"","2012-11-04","","",NA,"","2013-06-07","","",6,"","2013-08-28","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-03-26","dls","fate unknown",NA,"","hel",NA,"twin","1","f","mult","chle","tica",3.71
"16","clay",-0.0870273662651635,0.124667742425847,-0.242655556973948,0.784541697153726,-0.135277351026217,0.129921081573195,-0.74934034276409,0.472678255552737,0.497114643870647,0.498842099744301,-1.64154030177091,0.193681484481819,5,"f",28.8,4.32,28.8,7.76,27.4,7.23,17.8,5.93,0.65,12,7.97,0.44,1.2,0.84,0.04,2013-05-22,2013-07-22,"new",3.9,5.9,2013,"2013-01-23",2013,"","happy.zebra",NA,"","2013-03-15","","",NA,"","2013-09-14","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-09-19","","",4.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2018-02-20","dls","double check: alive but with disappeared date",NA,"","pike",NA,"single",NA,NA,NA,NA,NA,2
"17","clou",0.123007386650337,0.117308450612811,-0.0326208040584478,0.96790551585389,0.107793759140476,0.108164013230597,-0.506269232597397,0.602740072381473,-0.734538947530796,0.616901216591309,-2.87319389317235,0.0565181251492866,6,"m",27.83,4.45,28,4.56,27.83,4.45,27.17,4.71,0.98,24.33,4.84,0.87,0,0,0,2013-03-08,2013-05-04,"new",3.9,5.7,2013,"2012-11-10",2012,"","talek",NA,"","2012-12-01","","",NA,"",NA,"dbg","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-06-18","dead","starved",NA,"","tpe",NA,"twin",NA,"a","prim","clou","grnc",1.87
"18","crim",0.128230436556389,0.111517143661916,-0.0273977541523948,0.972974160035478,-0.0119165213374411,0.103023822916488,-0.625979513075315,0.534737389644408,-0.397626794675714,0.561668211071536,-2.53628174031727,0.0791601914036099,8,"f",27.12,10.33,29.75,8.46,27.12,10.33,24.38,11.07,0.9,19.88,10.41,0.73,0.12,0.35,0,2013-01-13,2013-07-24,"new",3.8,10.2,2013,"2012-09-18",2012,"","serena.n",NA,"","2012-11-12","","",NA,"","2013-06-27","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-10-05","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","hkr",NA,"twin","2","a","prim","bilj","crim",6.31
"19","cstz",0.0911364523877319,0.113126755586743,-0.0644917383210524,0.937543859916424,0.00840713184271919,0.155580054621292,-0.605655859895154,0.545716395745394,-0.492696764422801,0.49755746559779,-2.63135171006436,0.0719810988742789,8,"m",26,8.99,28.88,7.28,26,8.99,23,8.93,0.88,4.62,9.96,0.18,0.38,0.74,0.01,2013-07-07,2013-07-30,"new",2.7,3.4,2013,"2013-04-16",2013,"","serena.n",NA,"","2013-05-30","","",NA,"",NA,"","",NA,"","2014-06-18","","",7,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-05-29","dls","double check: alive but with disappeared date",NA,"","logc",NA,"single",NA,NA,NA,NA,NA,0.76
"20","dalt",-0.11073689015964,0.135923094300514,-0.266365080868425,0.766159366309593,-0.446452515039216,0.163611179562334,-1.06051550677709,0.346277256038798,0.281551660921583,0.586177057103936,-1.85710328471997,0.15612422340752,4,"m",26.75,6.02,27,6.32,26.75,6.02,13.5,4.2,0.5,6.25,6.18,0.23,0.5,0.58,0.02,2013-07-07,2013-08-01,"new",5.7,6.5,2013,"2013-01-14",2013,"","serena.n",NA,"","2013-03-15","","",NA,"","2013-07-27","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-11-29","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-12-08","dls","",NA,"","ink",NA,"twin","2",NA,NA,NA,NA,0.82
"21","dara",-0.0676656706434551,0.123358286109823,-0.223293861352239,0.799879761006366,0.0309207830255865,0.130144817903533,-0.583142208712287,0.558141810218589,-0.123883477135671,0.520403413540433,-2.26253842277723,0.10408593501904,6,"f",24.33,6.62,27.33,7.2,24,6.93,16.67,11.24,0.69,12,9.98,0.5,0.5,0.84,0.02,2013-05-12,2013-07-22,"new",2.8,5.1,2013,"2013-02-16",2013,"","happy.zebra",NA,"","2013-03-11","","",NA,"",NA,"","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-11-11","dls","double check: alive but with disappeared date",NA,"","saw",NA,"twin","2",NA,NA,NA,NA,2.33
"22","decm",0.127619776701949,0.124061088601294,-0.0280084140068352,0.972380185153302,0.165591984994578,0.121750037904935,-0.448471006743295,0.638603826475945,-0.119871950536675,0.513187148549826,-2.25852689617823,0.104504317130372,9,"f",14.78,6.98,15.33,6.91,14.33,6.91,14.22,6.98,0.99,12.11,7.64,0.85,0.56,1.13,0.04,2013-02-26,2013-06-20,"new",1.5,5.2,2013,"2013-01-12",2013,"","talek",NA,"","2013-02-07","","",NA,"","2013-08-08","","",1,"","2013-10-31","","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","buar",NA,"twin",NA,"a","prim","byte","decm",3.75
"23","dora",0.047477826999881,0.159489457815412,-0.108150363708903,0.897492635962654,0.0836109773810141,0.167234388204375,-0.530452014356859,0.588338971903477,-0.192520098780285,0.714312916766544,-2.33117504442184,0.0971814874078938,1,"m",30,NA,30,NA,30,NA,29,NA,0.97,27,NA,0.9,0,NA,0,2013-08-07,2013-08-07,"new",5.5,5.5,2013,"2013-02-21",2013,"","talek",NA,"","2013-04-22","","",NA,"","2013-12-30","","",13.5,"","2014-04-24","","",23.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","ali",NA,"single",NA,"k","mult","dora",NA,0
"24","drp",0.0881602964922687,0.107817056052014,-0.0674678942165156,0.934757731263598,-0.00280565571049441,0.11130251553009,-0.616868647448368,0.539631571408779,1.15599079315791,0.410460489052194,-0.982664152483643,0.374312543597607,8,"m",29,3.51,30.62,4,29,3.51,27,3.96,0.93,16.5,10.47,0.57,7.5,6.12,0.26,2012-11-13,2013-05-30,"new",0.3,6.8,2012,"2012-11-05",2012,"","serena.n",NA,"","2012-11-07","","",NA,"",NA,"","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-06-03","dls","double check: alive but with disappeared date",NA,"","ema",NA,"single",NA,NA,NA,NA,NA,6.5
"25","drpy",-0.143135406751747,0.137409244842735,-0.298763597460531,0.741734736685655,0.0071856160418271,0.142854103980715,-0.606877375696046,0.545050201511412,0.270175445942823,0.685312055598046,-1.86847949969873,0.154358185140564,5,"m",27.4,10.36,27.4,10.36,27.4,10.36,13.6,13.15,0.5,10.4,14.86,0.38,0.2,0.45,0.01,2012-07-25,2012-08-25,"new",10.4,11.4,2012,"2011-09-12",2011,"","serena.n",NA,"","2012-01-27","","",NA,"","2012-07-14","","",NA,"dengrad info not in table, instead taken from tblhyenas","2012-09-22","","",3,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-11-14","dls","double check: alive but with disappeared date",NA,"","peep",NA,"twin","2",NA,NA,NA,NA,1.02
"26","euch",0.147241692035284,0.138903975727148,-0.00838649867350005,0.991648569903833,0.230326274657086,0.131353935051811,-0.383736717080787,0.681310781059433,0.063324639910175,0.628428084883415,-2.07533030573138,0.125514962334051,4,"m",25.25,8.62,25.25,8.62,25.25,8.62,24.5,9.33,0.97,24.25,9.6,0.96,0.75,1.5,0.03,2013-07-08,2013-07-29,"new",5.8,6.5,2013,"2013-01-12",2013,"","happy.zebra",NA,"","2013-02-16","","",NA,"","2013-10-05","","",NA,"dengrad info not in table, instead taken from tblhyenas","2014-08-13","error","",112.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-06-15","dls"," w",NA,"","csby",NA,"twin","1",NA,NA,NA,NA,0.69
"27","fljo",0.0819537509741932,0.146643907695532,-0.0736744397345912,0.928974081664471,0.142808865904589,0.158962478195668,-0.471254125833284,0.624218928098439,0.469582401519105,0.592826524312292,-1.66907254412245,0.188421737473894,4,"m",14.5,11.36,15.25,10.78,14.5,11.36,14.25,11.59,0.98,11.5,13.53,0.79,1.25,1.89,0.09,2013-03-26,2013-06-28,"new",1.1,4.2,2013,"2013-02-19",2013,"","talek",NA,"","2013-03-26","","",NA,"","2013-09-30","","",28,"","2013-08-31","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-04-12","dead","humans (poison - april 2014)",NA,"","baez",NA,"single",NA,"c","mult","fljo",NA,3.09
"28","frdn",0.0268304836893023,0.163462693770369,-0.128797707019482,0.879151793794968,-0.0600559112269836,0.168980337068302,-0.674118902964857,0.509605234515437,0.675565566457047,0.844000644726015,-1.46308937918451,0.231519915938449,1,"m",19,NA,19,NA,19,NA,17,NA,0.89,12,NA,0.63,5,NA,0.26,2013-05-17,2013-05-17,"new",7.5,7.5,2013,"2012-10-01",2012,"","happy.zebra",NA,"","2012-12-26","","",NA,"","2013-09-05","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-09-21","","",2.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-07-21","dls","double check: alive but with disappeared date",NA,"","silk",NA,"single",NA,NA,NA,NA,NA,0
"29","fush",0.0450950619273703,0.14681719584245,-0.110533128781414,0.895356667622817,-1.30100326512748e-05,0.148609616463059,-0.614076001770525,0.541140677402691,0.432530669555449,0.602507013569983,-1.70612427608611,0.181568138665285,3,"m",17.33,2.08,21.33,3.51,17.33,2.08,16,2.65,0.92,12.67,5.51,0.73,1,1,0.06,2013-03-30,2013-04-30,"new",3.7,4.8,2013,"2012-12-06",2012,"","talek",NA,"","2012-12-27","","",NA,"",NA,"dbg","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-06-14","dls","inferred dead",NA,"","mos",NA,"twin",NA,"h","mult","brgy","fush",1.02
"30","fuzz",0.0327248331971286,0.168362989873858,-0.122903357511656,0.884349124131066,-0.00029183887325016,0.176145860937736,-0.614354830611124,0.540989812808687,-0.0245728042718111,0.766367778232854,-2.16322774991337,0.114953480492649,1,"f",12,NA,12,NA,12,NA,11,NA,0.92,10,NA,0.83,0,NA,0,2012-07-09,2012-07-09,"new",10.4,10.4,2012,"2011-08-27",2011,"","serena.n",NA,"","2011-09-23","","",NA,"","2012-02-27","","",NA,"dengrad info not in table, instead taken from tblhyenas","2012-09-25","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","fate unknown",NA,"","ink",NA,"twin","1",NA,NA,NA,NA,0
"31","gala",-0.133148008205572,0.164830498846127,-0.288776198914356,0.749179853906658,-2.39198523219319e-07,0.192201295320543,-0.614063230936397,0.54114758826465,-0.0374279760585986,0.761817892656237,-2.17608292170016,0.113485191527043,1,"f",25,NA,29,NA,25,NA,3,NA,0.12,0,NA,0,0,NA,0,2012-12-16,2012-12-16,"new",11.3,11.3,2012,"2012-01-06",2012,"","talek",NA,"","2012-01-08","","",NA,"","2012-09-15","","",1,"","2012-07-17","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-04-12","dead","humans (poison - april 2014)",NA,"","hel",NA,"single",NA,"f","mult","chle","tica",0
"32","gdfi",0.108262384798225,0.12144987513529,-0.0473658059105595,0.953738450608468,0.139922506959981,0.117417448124975,-0.474140484777893,0.622419805917179,0.0788051571385537,0.527540604631941,-2.059849788503,0.127473116384412,8,"m",19.88,10.37,19.62,11.06,18.38,9.9,16.75,11.12,0.91,14.75,10.75,0.8,0.75,1.49,0.04,2013-03-10,2013-06-03,"new",3.4,6.2,2013,"2012-11-25",2012,"","talek.w",NA,"",NA,"","",NA,"",NA,"","",NA,"","2013-10-12","error","",3.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","roos",NA,NA,NA,"b","mult","gdfi",NA,2.79
"33","glxy",-0.0857637642682381,0.154190503990357,-0.241391954977022,0.785533672207761,-0.000321773942614892,0.192414210061952,-0.614384765680488,0.540973618483505,1.24934458158905,0.930250819743614,-0.889310364052505,0.410939053397415,2,"u",24,12.73,24,12.73,24,12.73,8.5,2.12,0.35,0,0,0,3.5,0.71,0.15,2012-09-15,2012-09-21,"new",10.4,10.6,2012,"2011-11-02",2011,"","talek",NA,"","2012-01-17","","",NA,"","2012-09-06","","",1.5,"","2012-12-08","","",17.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-02-22","dls","dispersed",NA,"","bab",NA,"twin","1","c","mult","glxy","yumm",0.2
"34","gobe",-0.176023140724098,0.120801940288126,-0.331651331432882,0.717737531748682,0.0364850520446733,0.125431157566355,-0.5775779396932,0.561256117788818,-0.459893731591547,0.496623923338356,-2.5985486772331,0.0743814514098527,7,"m",26.57,8.72,27,9.02,26.43,8.66,16.14,10.16,0.61,12.14,12.23,0.46,0.57,1.13,0.02,2012-09-26,2013-02-09,"new",1.5,6,2012,"2012-08-10",2012,"","serena.n",NA,"","2012-09-16","","",NA,"","2013-02-12","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-05-29","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-04-02","dls","double check: alive but with disappeared date",NA,"","lcs",NA,"single",NA,NA,NA,NA,NA,4.47
"35","goof",-0.0360272463724442,0.117313300335338,-0.191655437081229,0.825591287632503,0.205249954856866,0.12376803772986,-0.408813036881008,0.664438446194427,0.54315740678618,0.469787689526867,-1.59549753885538,0.202807598735849,6,"f",27.83,7.6,29,5.48,27.83,7.6,22,12.39,0.79,19.33,15.54,0.69,1.83,1.94,0.07,2013-02-26,2013-08-06,"new",3.5,8.8,2013,"2012-11-12",2012,"","talek.w",NA,"",NA,"","",NA,"",NA,"","",NA,"","2013-10-24","error","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","juno",NA,NA,NA,"c","mult","goof",NA,5.29
"36","grnc",0.13330882857965,0.104083029468025,-0.0223193621291339,0.977927872048051,0.162779996755834,0.0953811933093975,-0.451282994982039,0.63681060247071,-0.430173498102108,0.493666177793124,-2.56882844374366,0.0766252636657068,10,"m",24.8,7.54,25.2,7.24,24.5,7.81,23.8,7.84,0.97,22.3,8.76,0.91,0.2,0.42,0.01,2013-02-24,2013-05-04,"new",3.5,5.7,2013,"2012-11-10",2012,"","talek",NA,"","2012-12-01","","",NA,"",NA,"dbg","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-06-29","dls","inferred dead",NA,"","tpe",NA,"twin",NA,"a","prim","clou","grnc",2.27
"37","gsmk",-0.0699182680373509,0.148738666940198,-0.225546458746135,0.798079981791314,0.100689845226232,0.163132264838692,-0.513373146511641,0.598473431661994,-0.143226413966284,0.727852661228824,-2.28188135960784,0.102091954245226,2,"f",34.5,2.12,34.5,2.12,34.5,2.12,19.5,19.09,0.57,16.5,23.33,0.48,0,0,0,2012-09-18,2012-09-21,"new",9.6,9.7,2012,"2011-12-02",2011,"","talek",NA,"","2012-01-10","","",NA,"","2012-07-18","","",0.5,"","2012-10-13","","",9.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-08-17","dls","inferred dead",NA,"","sbl",NA,"twin","2","d","mult","gsmk","tuli",0.1
