"","fecal.sample.id","androgens.ng.g","androgens.assay.by","androgens.year.assayed","androstenedione.ng.g","androstenedione.assay.by","androstenedione.year.assayed","corticosterone.ng.g","corticosterone.assay.by","corticosterone.year.assayed","estrogen.ng.g","estrogen.assay.by","estrogen.year.assayed","progesterone.ng.g","progesterone.assay.by","progesterone.date.assayed","testosterone.ng.g","testosterone.assay.by","testosterone.date.assayed","hy.id","kaycode","poop.date","poop.time","darting.date","dob","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","sex","status","mom","dad","number.littermates","litrank","dart.age.mon","fec.vs.dart","poop.from.dart.mon","poop.age.mon","poop.mon","migratn.seas","poop.am.pm","state","cycle.start","cycle.stop","trimester","parity","poop.yr","corticosterone.ng.g.log"
"12","3200",179.65,"scj","2012",NA,NA,NA,12.95,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,15.89,"tmm",2016-08-20,"baez","763",2007-07-31,2007-07-31 18:31:00,NA,"2004-10-16","","talek",NA,"","2005-02-13","","",NA,"","2005-07-02","","",1.5,"","2005-08-05","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","bail",NA,"1","1",NA,NA,NA,33.4,7,"migration","pm","n",2006-10-16,2008-10-13,0,NA,2007,2.56109578814555
"13","3201",267.88,"scj","2012",NA,NA,NA,178.2,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,12.07,"tmm",2016-08-20,"mp","145",2007-08-16,2007-08-16 09:04:00,NA,"1994-07-23","","talek",NA,"","1994-08-14","","",NA,"","1995-03-18","","",0.5,"","1995-08-30","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-07-13","dls","inferred dead",NA,"","f","r","dj","bag","1","1",NA,NA,NA,156.8,8,"migration","am","o",2006-11-14,2007-12-29,NA,NA,2007,5.18290651503671
"14","3203",334.57,"scj","2012",NA,NA,NA,151.96,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,21.18,"tmm",2016-08-20,"mos","749",2007-09-16,2007-09-16 18:13:00,NA,"2003-02-18","","talek",NA,"","2003-04-17","","",NA,"","2003-10-28","","",2,"","2004-02-12","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-05-15","dead","humans (us)",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,54.9,9,"migration","pm","l",2007-03-02,2007-11-01,4,"b",2007,5.02361732831942
"15","3204",NA,NA,NA,NA,NA,NA,234.26,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,33.51,"tmm",2016-08-20,"mrph","197",2007-09-30,2007-09-30 18:21:00,NA,"1996-06-25","","talek",NA,"","1996-07-22","","",NA,"","1996-12-24","","",1,"","1997-06-01","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2011-04-11","dead","lions",NA,"","f","r","bsh",NA,"1","1",NA,NA,NA,135.2,9,"migration","pm","o",2006-12-31,2007-12-31,NA,NA,2007,5.45643160964173
"16","3205",558.54,"scj","2012",NA,NA,NA,230.14,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,8.86,"tmm",2016-09-02,"bab","771",2007-09-30,2007-09-30 18:32:00,NA,"2004-10-30","","talek",NA,"","2004-12-03","","",NA,"","2005-09-26","","",1.5,"","2005-08-24","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2018-02-11","dls","double check: alive but with disappeared date",NA,"","f","r","mp",NA,"1","2",NA,NA,NA,35,9,"migration","pm","n",2006-10-30,2008-07-11,0,NA,2007,5.43868781939531
"17","3206",489.64,"scj","2012",NA,NA,NA,111.87,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,21.12,"tmm",2016-08-20,"nav","100",2007-10-16,2007-10-16 18:19:00,NA,"1992-11-07","","talek",NA,"","1992-11-29","","",NA,"","1993-06-08","","",0.5,"","1993-11-29","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-07-20","dls","inferred dead",NA,"","f","r","coch","en","1","2",NA,NA,NA,179.2,10,"migration","pm","l",2007-03-03,2008-07-24,4,"h",2007,4.71733748285884
"18","3207",42.59,"scj","2012",NA,NA,NA,2.62,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,3.83,"tmm",2016-08-20,"nav","100",2008-01-26,2008-01-26 17:45:00,NA,"1992-11-07","","talek",NA,"","1992-11-29","","",NA,"","1993-06-08","","",0.5,"","1993-11-29","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-07-20","dls","inferred dead",NA,"","f","r","coch","en","1","2",NA,NA,NA,182.6,1,"none","pm","l",2007-03-03,2008-07-24,4,"h",2008,0.963174317773006
"19","3208",412.4,"scj","2012",NA,NA,NA,66.88,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,46.48,"esp",2018-01-26,"ali","253",2008-11-18,2008-11-18 18:52:00,NA,"1997-08-04","","talek",NA,"","1997-09-07","","",NA,"","1998-08-18","","",11.5,"","1998-06-21","","",6.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-06-11","dls","double check: alive but with disappeared date",NA,"","f","r","bb","mike","1","1",NA,NA,NA,135.5,11,"none","pm","p",2008-11-11,2008-12-17,1,"h",2008,4.20289996877645
"20","3209",269.59,"scj","2012",NA,NA,NA,174.03,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,8.85,"tmm",2016-08-20,"guci","753",2008-03-26,2008-03-26 18:14:00,NA,"2004-02-05","","talek",NA,"","2004-05-31","","",NA,"","2004-09-01","","",0.5,"","2005-05-14","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2012-01-24","dls","unk",NA,"","f","r","zc",NA,"0",NA,NA,NA,NA,49.6,3,"none","pm","p",2008-02-25,2008-04-01,3,"b",2008,5.15922769814608
"21","3210",383.48,"scj","2012",NA,NA,NA,62.25,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,6.97,"tmm",2016-08-20,"roos","363",2008-04-11,2008-04-11 06:50:00,2008-10-13,"2007-03-02","","talek",NA,"","2007-10-13","","",NA,"",NA,"","",NA,"","2008-07-24","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","nav",NA,NA,NA,19.4,"before",-6.1,13.3,4,"none","am","n",NA,NA,NA,NA,2008,4.13115853534482
"22","3212",262.71,"scj","2012",NA,NA,NA,12.32,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,16.9,"esp",2018-01-26,"art","323",2008-05-08,2008-05-08 18:11:00,NA,"2000-03-24","","talek",NA,"","2000-05-30","","",NA,"","2000-09-30","","",1,"","2000-12-14","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-01-03","dead","humans (spear)",NA,"","f","r","mrph",NA,"1","1",NA,NA,NA,97.5,5,"none","pm","l",2008-04-16,2009-02-20,4,"e",2008,2.51122395810537
"23","3213",604.58,"scj","2012",NA,NA,NA,280.31,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,15.81,"tmm",2016-08-20,"hex","727",2008-05-12,2008-05-12 18:04:00,NA,"2003-03-04","","talek",NA,"","2003-04-24","","",NA,"","2003-11-07","","",2,"","2004-01-17","","",9.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-04-13","dls","inferred dead",NA,"","f","r","bail",NA,NA,NA,NA,NA,NA,62.3,5,"none","pm","l",2008-04-17,2009-02-19,4,"b",2008,5.63589613359573
"24","3214",69.08,"scj","2012",NA,NA,NA,168.04,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,30.76,"tmm",2016-08-20,"mos","749",2008-05-21,2008-05-21 18:44:00,NA,"2003-02-18","","talek",NA,"","2003-04-17","","",NA,"","2003-10-28","","",2,"","2004-02-12","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-05-15","dead","humans (us)",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,63,5,"none","pm","l",2008-02-21,2008-09-21,4,"c",2008,5.12420204630118
"25","3216",1049.03,"scj","2012",NA,NA,NA,432.63,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,26.69,"tmm",2016-08-20,"sbl","759",2008-07-06,2008-07-06 07:50:00,NA,"2004-07-21","","talek",NA,"","2004-10-05","","",NA,"","2005-04-11","","",0,"","2005-09-07","","",4,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-04-08","dls","inferred dead",NA,"","f","r","adon",NA,"1","1",NA,NA,NA,47.5,7,"migration","am","l",2007-10-25,2008-09-12,4,"a",2008,6.06988285924209
"26","3217",NA,NA,NA,NA,NA,NA,22.05,"jrg-um","2014",NA,NA,NA,NA,NA,NA,36.14,"tmm",2016-08-20,"pan","755",2008-08-15,2008-08-15 18:11:00,NA,"2004-05-20","","talek",NA,"","2004-07-01","","",NA,"","2005-03-01","","",1.5,"","2005-03-14","","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-05-21","dead","",NA,"","f","r","mrph",NA,"1","1",NA,NA,NA,50.9,8,"migration","pm","l",2008-03-02,2009-01-23,4,"b",2008,3.09331260189286
"27","3218",NA,NA,NA,NA,NA,NA,237.53,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,15.13,"tmm",2016-08-20,"adon","355",2008-08-28,2008-08-28 07:24:00,NA,"2001-03-20","","talek",NA,"","2001-05-22","","",NA,"","2001-10-08","","",0.5,"","2001-12-06","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-12-04","dls","double check: alive but with disappeared date",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,89.3,8,"migration","am","l",2008-07-23,2009-08-20,4,"e",2008,5.470293931287
"28","3220",NA,NA,NA,NA,NA,NA,421.22,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,79.65,"tmm",2016-08-20,"adon","355",2008-09-18,2008-09-18 08:06:00,NA,"2001-03-20","","talek",NA,"","2001-05-22","","",NA,"","2001-10-08","","",0.5,"","2001-12-06","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-12-04","dls","double check: alive but with disappeared date",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,90,9,"migration","am","l",2008-07-23,2009-08-20,4,"e",2008,6.04315526251334
"29","3222",92.83,"scj","2012",NA,NA,NA,54.51,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,5.77,"tmm",2016-08-20,"roos","363",2008-09-20,2008-09-20 16:20:00,2008-10-13,"2007-03-02","","talek",NA,"","2007-10-13","","",NA,"",NA,"","",NA,"","2008-07-24","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","nav",NA,NA,NA,19.4,"before",-0.8,18.7,9,"migration","pm","n",NA,NA,NA,NA,2008,3.99838417107619
"30","3224",134.73,"scj","2012",NA,NA,NA,234.77,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,3.61,"tmm",2016-08-20,"eng","726",2008-10-03,2008-10-03 07:04:00,NA,"2007-06-08","","talek",NA,"","2008-08-08","","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2009-01-08","dls","inferred dead",NA,"","f","r",NA,NA,NA,NA,NA,NA,NA,15.9,10,"migration","am","n",NA,NA,NA,NA,2008,5.45860631147742
"31","3226",2721.8,"scj","2012",NA,NA,NA,356.67,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,150.09,"tmm",2016-08-20,"mos","749",2008-10-07,2008-10-07 06:10:00,NA,"2003-02-18","","talek",NA,"","2003-04-17","","",NA,"","2003-10-28","","",2,"","2004-02-12","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-05-15","dead","humans (us)",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,67.6,10,"migration","am","p",2008-09-22,2008-10-28,1,"d",2008,5.87681098453856
"32","3233",501.54,"scj","2012",NA,NA,NA,35.95,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,5.52,"tmm",2016-08-20,"eng","726",2008-10-26,2008-10-26 17:51:00,NA,"2007-06-08","","talek",NA,"","2008-08-08","","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2009-01-08","dls","inferred dead",NA,"","f","r",NA,NA,NA,NA,NA,NA,NA,16.6,10,"migration","pm","n",NA,NA,NA,NA,2008,3.58212908416706
"33","3235",238.4,"scj","2012",NA,NA,NA,241.74,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,207.16,"tmm",2016-09-02,"pan","755",2008-10-29,2008-10-29 18:25:00,NA,"2004-05-20","","talek",NA,"","2004-07-01","","",NA,"","2005-03-01","","",1.5,"","2005-03-14","","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-05-21","dead","",NA,"","f","r","mrph",NA,"1","1",NA,NA,NA,53.3,10,"migration","pm","l",2008-03-02,2009-01-23,4,"b",2008,5.48786276843131
"34","3236",NA,NA,NA,NA,NA,NA,15.08,"jrg-um","2014",NA,NA,NA,NA,NA,NA,61.47,"tmm",2016-08-20,"baez","763",2008-10-31,2008-10-31 07:32:00,NA,"2004-10-16","","talek",NA,"","2005-02-13","","",NA,"","2005-07-02","","",1.5,"","2005-08-05","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","bail",NA,"1","1",NA,NA,NA,48.5,10,"migration","am","p",2008-10-14,2008-11-19,1,"a",2008,2.71336936257981
"35","3238",313.75,"scj","2012",NA,NA,NA,211.44,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,11.68,"tmm",2016-08-20,"sam","742",2008-11-10,2008-11-10 08:24:00,NA,"2006-08-07","","talek",NA,"","2006-09-19","","",NA,"","2007-06-07","","",31,"","2007-08-24","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2012-04-30","dls","inferred dead",NA,"","f","r","art",NA,"1","1",NA,NA,NA,27.1,11,"none","am","n",2008-08-07,2009-03-30,0,NA,2008,5.35394127029603
"36","3239",NA,NA,NA,NA,NA,NA,374.7,"tmm","2018",NA,NA,NA,NA,NA,NA,73.89,"tmm",2016-08-20,"sbl","759",2008-11-18,2008-11-18 07:07:00,NA,"2004-07-21","","talek",NA,"","2004-10-05","","",NA,"","2005-04-11","","",0,"","2005-09-07","","",4,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-04-08","dls","inferred dead",NA,"","f","r","adon",NA,"1","1",NA,NA,NA,51.9,11,"none","am","p",2008-10-20,2008-11-25,2,"b",2008,5.92612570579964
"37","3242",290.78,"scj","2012",NA,NA,NA,123.75,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,12.36,"tmm",2016-08-20,"adon","355",2008-11-30,2008-11-30 18:26:00,NA,"2001-03-20","","talek",NA,"","2001-05-22","","",NA,"","2001-10-08","","",0.5,"","2001-12-06","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-12-04","dls","double check: alive but with disappeared date",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,92.4,11,"none","pm","l",2008-07-23,2009-08-20,4,"e",2008,4.8182634014488
"38","3244",138.64,"scj","2012",NA,NA,NA,281.59,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,66.11,"tmm",2016-08-20,"mos","749",2008-12-06,2008-12-06 06:17:00,NA,"2003-02-18","","talek",NA,"","2003-04-17","","",NA,"","2003-10-28","","",2,"","2004-02-12","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-05-15","dead","humans (us)",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,69.6,12,"none","am","p",2008-12-05,2009-01-10,3,"d",2008,5.64045211228971
"39","3245",NA,NA,NA,NA,NA,NA,34.41,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,3.75,"tmm",2016-08-20,"adon","355",2009-01-05,2009-01-05 18:21:00,NA,"2001-03-20","","talek",NA,"","2001-05-22","","",NA,"","2001-10-08","","",0.5,"","2001-12-06","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-12-04","dls","double check: alive but with disappeared date",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,93.6,1,"none","pm","l",2008-07-23,2009-08-20,4,"e",2009,3.53834721980939
"40","3247",NA,NA,NA,NA,NA,NA,57.87,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,48.6,"tmm",2016-08-20,"nav","100",2009-01-09,2009-01-09 18:21:00,NA,"1992-11-07","","talek",NA,"","1992-11-29","","",NA,"","1993-06-08","","",0.5,"","1993-11-29","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-07-20","dls","inferred dead",NA,"","f","r","coch","en","1","2",NA,NA,NA,194.1,1,"none","pm","l",2008-11-14,2014-04-12,4,"i",2009,4.05819911558575
"41","3249",142.6,"scj","2012",NA,NA,NA,70.87,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,35.06,"tmm",2016-08-20,"baez","763",2009-02-19,2009-02-19 19:07:00,NA,"2004-10-16","","talek",NA,"","2005-02-13","","",NA,"","2005-07-02","","",1.5,"","2005-08-05","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","bail",NA,"1","1",NA,NA,NA,52.1,2,"none","pm","l",2009-02-02,2009-10-04,4,"a",2009,4.26084721282216
"42","3255",418.69,"scj","2012",NA,NA,NA,148.26,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,18.02,"tmm",2016-08-20,"pan","755",2009-04-19,2009-04-19 17:48:00,NA,"2004-05-20","","talek",NA,"","2004-07-01","","",NA,"","2005-03-01","","",1.5,"","2005-03-14","","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-05-21","dead","",NA,"","f","r","mrph",NA,"1","1",NA,NA,NA,59,4,"none","pm","o",2009-01-24,2009-07-10,NA,NA,2009,4.99896748922857
"43","3258",315.11,"scj","2012",NA,NA,NA,18.55,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,7.65,"tmm",2016-08-20,"yog","367",2009-04-19,2009-04-19 18:35:00,NA,"2001-11-20","","talek",NA,"","2002-01-07","","",NA,"","2002-10-11","","",4.5,"","2003-04-06","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-05-13","dls","double check: alive but with disappeared date",NA,"","f","r","mp",NA,"0",NA,NA,NA,NA,88.9,4,"none","pm","o",2008-08-29,2009-09-24,NA,NA,2009,2.92046978905344
"44","3259",50.78,"scj","2012",NA,NA,NA,23.14,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,9.79,"tmm",2016-08-20,"mos","749",2009-04-23,2009-04-23 17:45:00,NA,"2003-02-18","","talek",NA,"","2003-04-17","","",NA,"","2003-10-28","","",2,"","2004-02-12","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-05-15","dead","humans (us)",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,74.1,4,"none","pm","l",2009-01-11,2009-08-10,4,"d",2009,3.14156272176553
"45","3260",283.65,"scj","2012",NA,NA,NA,14.3,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,8.91,"tmm",2016-08-20,"blue","433",2009-05-04,2009-05-04 18:20:00,NA,"2008-02-20","","talek",NA,"","2008-05-11","","",NA,"","2008-10-07","","",2.5,"","2009-01-22","","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2012-06-30","dls","inferred dead",NA,"","f","r","mos",NA,"1",NA,NA,NA,NA,14.4,5,"none","pm","n",NA,NA,NA,NA,2009,2.66025953726586
